Kapampangan,English
dipaningalti,"curse, may lightning hit you"
dalan,thoroughfare
"mitagan, malakuan",remain
magreklamo,complain
"tamnanan, tamnan, tanam",plant
ambukan,root
kupas,fade
dungdungan,overlook
puga,fish roe
puslit,sneak in
pampang,riverside
ba,in order to
pasa,pass
hxbm1,suppose
"pampan, tabing",blind
danum,water
"malugus, malaglag",shed
atlung bekes,thrice
retirado,retiree
bayag,kamusta
kyapu,water lily
papaluan,hip
ikalat,spread
kodernu,notebook
"arnisan, eskrima",swordplay
makusuelu,proud
"kakompetencia, kasalipit",rival
makibisita,host
katapatan,loyalty
magpayasuk,smoker
magdili-dili,recluse
makanita,
sukad,dimension
ila,"them, they"
tindaragul,big toe
nune mu,but
"tumbalic, baligtad, pabalik",reverse
panalben me yan,
malaut,outlying
kucharan,scoop
usad,crawl
balani,attraction
"lagpakan, lasakan",wreck
lalam,"bottom, down"
matambok,
lakuas na,especially
kau,thirst
b4x07y,nyqwkyvgsfnmqliuid
sepulture,vault
siping,"beside, side"
"parti, departamiento",section
kwadru,frame
dikcionario,dictator
"tinud, makaustu",proper
"patag, pante",level
gulis,mark
qng uli ning,due to
jo,friend
pamagtapat,confession
"balbal, lasi",shattered
detang,those
mataranta,get confused
ilumud,drown
baraku,gobbler
igrupu,classify
"peka-, dili",best
kasapunggul,bunch
aldo-aldo,"daily, everyday"
nunu,"forefather, grandfather"
mindak,sway
maglaku,salesman
kudyapi,a kind of stringed musical instrument
batiawan,"see, watchtower"
akawul daka,akawul
suli,problem
kulul ubi,purple
makatula-tula,ridiculous
dimukrasya,democracy
rectangulo,rectangle
pat,chisel
singkuenta,fifty
lipak,callus
masias a buntuk,hard-headed
urung,"go in reverse, retreat"
kolera,cholera
kagli,state of conceiving
kambing,goat
"de electrik, de koriente",electrical
padalus-dalus,in a brusque way
damdaman,to hear
ken,there
tapuk,"cohort, group, platoon"
pipanutangan,creditor
mebuysit,unset
buwis,tax
tumulu,leak
manika,puppet
baradap,drum
busal,core
dulut,dulut
pagkalangan,trivet
maganaka,gentle
regulár,regular
"mipaintagun, mipatiempu",incidental
"parti, departamiento",section
tabaku,tobacco
pilinan,"sort, select, choose"
kakilala,acquaintance
singut,inhale
kandadu,lock
"buru, iburu",pickle
palikeru,playboy
ana-,prefix to mean much more
awla,bird cage
dalampasigan,beach
"dumurut, padurut",rotate
taramindu,tamarind jam
pinaud,shingle
dalag,mud fish
sabadu,saturday
bagyus,feather
laipan,centipede
alampusan,overcome
mapagmulala,curious
"buklo, muklo, tumumbo",bulge
"prevista, pasinag",preview
ilera,column
anu,what do you mean
malicia,desire
bakas,trace
talibung,sword
"kuma, mangalap",secure
"yandug, yampang, iparikil",dedicate
makina,engine
kasapunggul,bunch
pagmulmul,mouthwash
sikasuan,mind
andiyang makananu meng baligtaran ing yatu makanta pa rin?? ekuna aytindiyan pasensya na kayu ne?,
"makatula, makapakaíli",humorous
amad,tendon
damuku,a field crab
singo,stink
kawali,skillet
kurat,whiny
aru,gosh
pita,"intense desire, yearning"
kansuswit,a kind of bird
armirul,starch
amis kupin,
alun,wave
i love you pen i fall for you,kapampangan
bangin,"canyon, cliff, deep gorge"
"dalum, demanda, mandalum, magdemanda",sue
"baru, camisola",dress
panlub,admission
gato-gato,adrift
dapu,crocodile
"makilaban, laban, labanan",fight
basan,wet
tasak,stake
pupul,produce
dual,low gear
makanita,
tidwa,"by twos, double"
kalibyan,lust
dikut,grass
kalderu,rice pot
gastus,expense
kumpisal,"confess, confession"
api,lime
papa,paralyzed
kalbit,"touch, tap"
butakal,"monkey, orangutan"
mapenandit,soon
bihira,scarce
maindredus,nosy
ambul,mix soup with the rice
paitas,soar
timba,pail
americano,american
panapus,shove
ilage,set
seguro,insurance
boniti,bonnet
aske,"countenance, look"
eclipsi,eclipse
pluma,pen
"kelebrahan, magkelebra",celebrate
sindi,light
manguribdib,shudder
diris,dried fish
pamisan,mix together into one whole
palub,enclose
"ban kanita, makanian pala!",so
pundamiento,fundamental
sapua,pulp
bayu-bayu,recent
misapwak,born
ilutan,massage
"perdibli, perdipli",safety pin
bintang,accusation
dars,aunt
catalago,catalog
mitabnu,meet
sakit,pain
suspende,suspend
abito,vestment
mangisnawa,breathe
abrilata,can opener
kasangkapan,tool
